file_path,dir_name,file_name,format,resolution,ratio,mode,file_size_mb
data/reid_cat\0001\0001_000.JPG,0001,0001_000,JPEG,7990272,1.33,RGB,0.7959489822387695
data/reid_cat\0001\0001_001.JPG,0001,0001_001,JPEG,7990272,1.33,RGB,0.7308492660522461
data/reid_cat\0001\0001_002.JPG,0001,0001_002,JPEG,7990272,1.33,RGB,0.7489566802978516
data/reid_cat\0001\0001_003.JPG,0001,0001_003,JPEG,7990272,1.33,RGB,0.7958030700683594
data/reid_cat\0001\0001_004.JPG,0001,0001_004,JPEG,7990272,1.33,RGB,0.7532587051391602
data/reid_cat\0001\0001_005.JPG,0001,0001_005,JPEG,7990272,1.33,RGB,0.8903751373291016
data/reid_cat\0001\0001_006.JPG,0001,0001_006,JPEG,7990272,1.33,RGB,0.8006191253662109
data/reid_cat\0001\0001_007.JPG,0001,0001_007,JPEG,7990272,1.33,RGB,0.8507242202758789
data/reid_cat\0001\0001_008.JPG,0001,0001_008,JPEG,7990272,1.33,RGB,0.8292055130004883
data/reid_cat\0001\0001_009.JPG,0001,0001_009,JPEG,7990272,1.33,RGB,0.8823184967041016
data/reid_cat\0001\0001_010.JPG,0001,0001_010,JPEG,7990272,1.33,RGB,0.813166618347168
data/reid_cat\0001\0001_011.JPG,0001,0001_011,JPEG,7990272,1.33,RGB,0.7451581954956055
data/reid_cat\0001\0001_012.JPG,0001,0001_012,JPEG,7990272,1.33,RGB,0.7357988357543945
data/reid_cat\0001\0001_013.JPG,0001,0001_013,JPEG,7990272,1.33,RGB,0.5743198394775391
data/reid_cat\0001\0001_014.JPG,0001,0001_014,JPEG,7990272,1.33,RGB,0.5971879959106445
data/reid_cat\0001\0001_015.JPG,0001,0001_015,JPEG,7990272,1.33,RGB,0.8615589141845703
data/reid_cat\0001\0001_016.JPG,0001,0001_016,JPEG,7990272,1.33,RGB,0.8297719955444336
data/reid_cat\0002\0002_000.JPG,0002,0002_000,JPEG,7990272,1.33,RGB,0.8674049377441406
data/reid_cat\0002\0002_001.JPG,0002,0002_001,JPEG,7990272,1.33,RGB,0.8803701400756836
data/reid_cat\0002\0002_002.JPG,0002,0002_002,JPEG,7990272,1.33,RGB,0.8367233276367188
data/reid_cat\0002\0002_003.JPG,0002,0002_003,JPEG,7990272,1.33,RGB,0.9043741226196289
data/reid_cat\0002\0002_004.JPG,0002,0002_004,JPEG,7990272,1.33,RGB,0.8532991409301758
data/reid_cat\0002\0002_005.JPG,0002,0002_005,JPEG,7990272,1.33,RGB,0.9033279418945312
data/reid_cat\0002\0002_006.JPG,0002,0002_006,JPEG,7990272,1.33,RGB,0.8372840881347656
data/reid_cat\0002\0002_007.JPG,0002,0002_007,JPEG,7990272,1.33,RGB,0.7296257019042969
data/reid_cat\0002\0002_008.JPG,0002,0002_008,JPEG,7990272,1.33,RGB,0.7100887298583984
data/reid_cat\0002\0002_009.JPG,0002,0002_009,JPEG,7990272,1.33,RGB,0.8095779418945312
data/reid_cat\0002\0002_010.JPG,0002,0002_010,JPEG,7990272,1.33,RGB,0.9236974716186523
data/reid_cat\0002\0002_011.JPG,0002,0002_011,JPEG,7990272,1.33,RGB,0.9111757278442383
data/reid_cat\0002\0002_012.JPG,0002,0002_012,JPEG,7990272,1.33,RGB,0.9301156997680664
data/reid_cat\0002\0002_013.JPG,0002,0002_013,JPEG,7990272,1.33,RGB,0.8587427139282227
data/reid_cat\0002\0002_014.JPG,0002,0002_014,JPEG,7990272,1.33,RGB,0.8797597885131836
